"SHORTNAME";"global_id";"FULLNAME";"CODE";"ALFA2";"ALFA3";"SHORTNAME_en";"FULLNAME_en";"CODE_en";"ALFA2_en";"ALFA3_en";
"Краткое наименование страны";"global_id";"Полное официальное наименование страны";"Цифровой код страны";"Буквенный код альфа-2";"Буквенный код альфа-3";"SHORTNAME_en";"FULLNAME_en";"CODE_en";"ALFA2_en";"ALFA3_en";
"БУТАН";"273330185";"Королевство Бутан";"064";"BT";"BTN";"";"";"";"";"";
"БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО";"273330186";"Многонациональное Государство Боливия";"068";"BO";"BOL";"";"";"";"";"";
"БОСНИЯ И ГЕРЦЕГОВИНА";"273330187";"";"070";"BA";"BIH";"";"";"";"";"";
"БОТСВАНА";"273330188";"Республика Ботсвана";"072";"BW";"BWA";"";"";"";"";"";
"ОСТРОВ БУВЕ";"273330189";"";"074";"BV";"BVT";"";"";"";"";"";
"БРАЗИЛИЯ";"273330190";"Федеративная Республика Бразилия";"076";"BR";"BRA";"";"";"";"";"";
"БЕЛИЗ";"273330191";"";"084";"BZ";"BLZ";"";"";"";"";"";
"БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ";"273330192";"";"086";"IO";"IOT";"";"";"";"";"";
"СОЛОМОНОВЫ ОСТРОВА";"273330193";"";"090";"SB";"SLB";"";"";"";"";"";
"ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ)";"273330194";"Британские Виргинские острова";"092";"VG";"VGB";"";"";"";"";"";
"БРУНЕЙ-ДАРУССАЛАМ";"273330195";"";"096";"BN";"BRN";"";"";"";"";"";
"БОЛГАРИЯ";"273330196";"Республика Болгария";"100";"BG";"BGR";"";"";"";"";"";
"МЬЯНМА";"273330197";"Республика Союза Мьянма";"104";"MM";"MMR";"";"";"";"";"";
"БУРУНДИ";"273330198";"Республика Бурунди";"108";"BI";"BDI";"";"";"";"";"";
"БЕЛАРУСЬ";"273330199";"Республика Беларусь";"112";"BY";"BLR";"";"";"";"";"";
"КАМБОДЖА";"273330200";"Королевство Камбоджа";"116";"KH";"KHM";"";"";"";"";"";
"КАМЕРУН";"273330201";"Республика Камерун";"120";"CM";"CMR";"";"";"";"";"";
"КАНАДА";"273330202";"";"124";"CA";"CAN";"";"";"";"";"";
"КАБО-ВЕРДЕ";"273330203";"Республика Кабо-Верде";"132";"CV";"CPV";"";"";"";"";"";
"ОСТРОВА КАЙМАН";"273330204";"";"136";"KY";"CYM";"";"";"";"";"";
"ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА";"273330205";"";"140";"CF";"CAF";"";"";"";"";"";
"ШРИ-ЛАНКА";"273330206";"Демократическая Социалистическая Республика Шри-Ланка";"144";"LK";"LKA";"";"";"";"";"";
"ЧИЛИ";"273330207";"Республика Чили";"152";"CL";"CHL";"";"";"";"";"";
"КИТАЙ";"273330208";"Китайская Народная Республика";"156";"CN";"CHN";"";"";"";"";"";
"ТАЙВАНЬ (КИТАЙ)";"273330209";"";"158";"TW";"TWN";"";"";"";"";"";
"ОСТРОВ РОЖДЕСТВА";"273330210";"";"162";"CX";"CXR";"";"";"";"";"";
"КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА";"273330211";"";"166";"CC";"CCK";"";"";"";"";"";
"КОЛУМБИЯ";"273330212";"Республика Колумбия";"170";"CO";"COL";"";"";"";"";"";
"МАЙОТТА";"273330213";"";"175";"YT";"MYT";"";"";"";"";"";
"КОНГО";"273330214";"Республика Конго";"178";"CG";"COG";"";"";"";"";"";
"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА";"273330215";"Демократическая Республика Конго";"180";"CD";"COD";"";"";"";"";"";
"ОСТРОВА КУКА";"273330216";"";"184";"CK";"COK";"";"";"";"";"";
"КОСТА-РИКА";"273330217";"Республика Коста-Рика";"188";"CR";"CRI";"";"";"";"";"";
"ХОРВАТИЯ";"273330218";"Республика Хорватия";"191";"HR";"HRV";"";"";"";"";"";
"КУБА";"273330219";"Республика Куба";"192";"CU";"CUB";"";"";"";"";"";
"КИПР";"273330220";"Республика Кипр";"196";"CY";"CYP";"";"";"";"";"";
"ЧЕХИЯ";"273330221";"Чешская Республика";"203";"CZ";"CZE";"";"";"";"";"";
"БЕНИН";"273330222";"Республика Бенин";"204";"BJ";"BEN";"";"";"";"";"";
"ДАНИЯ";"273330223";"Королевство Дания";"208";"DK";"DNK";"";"";"";"";"";
"ДОМИНИКА";"273330224";"Содружество Доминики";"212";"DM";"DMA";"";"";"";"";"";
"ДОМИНИКАНСКАЯ РЕСПУБЛИКА";"273330225";"";"214";"DO";"DOM";"";"";"";"";"";
"ЭКВАДОР";"273330226";"Республика Эквадор";"218";"EC";"ECU";"";"";"";"";"";
"ЭЛЬ-САЛЬВАДОР";"273330227";"Республика Эль-Сальвадор";"222";"SV";"SLV";"";"";"";"";"";
"ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ";"273330228";"Республика Экваториальная Гвинея";"226";"GQ";"GNQ";"";"";"";"";"";
"ЭФИОПИЯ";"273330229";"Федеративная Демократическая Республика Эфиопия";"231";"ET";"ETH";"";"";"";"";"";
"ЭРИТРЕЯ";"273330230";"Государство Эритрея";"232";"ER";"ERI";"";"";"";"";"";
"ЭСТОНИЯ";"273330231";"Эстонская Республика";"233";"EE";"EST";"";"";"";"";"";
"ФАРЕРСКИЕ ОСТРОВА";"273330232";"";"234";"FO";"FRO";"";"";"";"";"";
"ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)";"273330233";"";"238";"FK";"FLK";"";"";"";"";"";
"ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА";"273330234";"";"239";"GS";"SGS";"";"";"";"";"";
"ФИДЖИ";"273330235";"Республика Фиджи";"242";"FJ";"FJI";"";"";"";"";"";
"ФИНЛЯНДИЯ";"273330236";"Финляндская Республика";"246";"FI";"FIN";"";"";"";"";"";
"ЭЛАНДСКИЕ ОСТРОВА";"273330237";"";"248";"AX";"ALA";"";"";"";"";"";
"ФРАНЦИЯ";"273330238";"Французская Республика";"250";"FR";"FRA";"";"";"";"";"";
"ФРАНЦУЗСКАЯ ГВИАНА";"273330239";"";"254";"GF";"GUF";"";"";"";"";"";
"ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ";"273330240";"";"258";"PF";"PYF";"";"";"";"";"";
"ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ";"273330241";"";"260";"TF";"ATF";"";"";"";"";"";
